epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,201.797,0.91732,0.64391,1.0718,0.90801,0.95181,0.97386,0.78648,0.76016,0.49067,0.96914,0.00055188,0.00055188,0.00055188
64,204.83,0.91222,0.63003,1.06987,0.92311,0.94894,0.97312,0.76758,0.80342,0.48985,0.97859,0.000537733,0.000537733,0.000537733
65,207.839,0.87846,0.61855,1.05033,0.91202,0.94746,0.9735,0.78314,0.76767,0.4754,0.9595,0.000523586,0.000523586,0.000523586
66,211.047,0.90484,0.63683,1.06264,0.93528,0.93819,0.97644,0.78058,0.7836,0.49108,0.96818,0.000509438,0.000509438,0.000509438
67,214.061,0.90982,0.62371,1.05466,0.93032,0.9579,0.97809,0.79299,0.75397,0.46924,0.95399,0.000495291,0.000495291,0.000495291
68,217.069,0.87212,0.61552,1.04663,0.93586,0.95399,0.9792,0.7955,0.74082,0.45605,0.94896,0.000481144,0.000481144,0.000481144
69,220.055,0.89467,0.60072,1.05283,0.94295,0.94087,0.97189,0.7882,0.73384,0.46282,0.94999,0.000466997,0.000466997,0.000466997
70,223.085,0.88202,0.62839,1.05336,0.95972,0.94282,0.98135,0.79874,0.72581,0.44853,0.9461,0.00045285,0.00045285,0.00045285
71,226.278,0.90468,0.59668,1.04762,0.95076,0.93899,0.97569,0.79802,0.72578,0.45616,0.94843,0.000438703,0.000438703,0.000438703
72,229.277,0.869,0.604,1.05226,0.93812,0.96321,0.9788,0.80725,0.70555,0.43851,0.93924,0.000424556,0.000424556,0.000424556
73,232.268,0.86828,0.59884,1.04528,0.95337,0.93636,0.97939,0.80967,0.70972,0.43499,0.93766,0.000410409,0.000410409,0.000410409
74,235.304,0.87819,0.59788,1.04177,0.93139,0.95234,0.97802,0.80099,0.72444,0.45872,0.94574,0.000396262,0.000396262,0.000396262
75,238.38,0.87095,0.6061,1.02252,0.93702,0.94798,0.98162,0.81026,0.68893,0.45866,0.92671,0.000382115,0.000382115,0.000382115
76,241.397,0.87071,0.61502,1.04162,0.94307,0.96667,0.98556,0.81503,0.69568,0.429,0.92707,0.000367967,0.000367967,0.000367967
77,244.532,0.84326,0.58677,1.02718,0.94726,0.9612,0.98537,0.8183,0.68203,0.42063,0.92679,0.00035382,0.00035382,0.00035382
78,247.548,0.84406,0.59167,1.03076,0.94606,0.96842,0.98283,0.8184,0.68994,0.42771,0.92792,0.000339673,0.000339673,0.000339673
79,250.625,0.84465,0.5636,1.02463,0.95612,0.96847,0.98427,0.82994,0.65997,0.40824,0.91685,0.000325526,0.000325526,0.000325526
80,253.75,0.848,0.58219,1.02119,0.95745,0.96067,0.98392,0.82137,0.66952,0.41317,0.92141,0.000311379,0.000311379,0.000311379
81,256.769,0.83472,0.57566,1.02896,0.95054,0.97455,0.98584,0.8286,0.65139,0.40567,0.91223,0.000297232,0.000297232,0.000297232
82,259.787,0.83741,0.56093,1.01775,0.96081,0.96687,0.98734,0.83155,0.6589,0.40824,0.9185,0.000283085,0.000283085,0.000283085
83,262.996,0.80864,0.53787,1.00356,0.95515,0.96916,0.98727,0.83388,0.65332,0.3954,0.91114,0.000268938,0.000268938,0.000268938
84,266.069,0.8224,0.5565,1.02918,0.95435,0.97093,0.98584,0.83922,0.63442,0.38837,0.91046,0.000254791,0.000254791,0.000254791
85,269.189,0.80779,0.55251,1.00689,0.9595,0.96962,0.98565,0.83283,0.64146,0.39121,0.91132,0.000240644,0.000240644,0.000240644
86,272.312,0.83978,0.56487,1.03812,0.9529,0.97376,0.98448,0.83485,0.64838,0.39623,0.91004,0.000226497,0.000226497,0.000226497
87,275.388,0.81335,0.53937,1.01058,0.95966,0.96976,0.98609,0.84147,0.62342,0.38603,0.90245,0.000212349,0.000212349,0.000212349
88,278.967,0.79763,0.55417,1.01461,0.96381,0.9683,0.98516,0.84059,0.62387,0.37941,0.90099,0.000198202,0.000198202,0.000198202
89,282.83,0.80419,0.54221,1.02397,0.95811,0.97101,0.98446,0.84619,0.60269,0.37208,0.89289,0.000184055,0.000184055,0.000184055
90,286.42,0.819,0.55575,1.02118,0.95482,0.97296,0.98571,0.8469,0.59481,0.37122,0.88891,0.000169908,0.000169908,0.000169908
